movieId,title,tagline,overview,keywords,genres,release_date,budget
22,Copycat,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"[{""id"": 796, ""name"": ""police brutality""}, {""id"": 2800, ""name"": ""psychology""}, {""id"": 4668, ""name"": ""police operation""}, {""id"": 5430, ""name"": ""police protection""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 11268, ""name"": ""psychologist""}, {""id"": 13001, ""name"": ""cowardliness""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1995-10-27,0
23,Assassins,"In the shadows of life, In the business of death, One man found a reason to live...","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","[{""id"": 271, ""name"": ""competition""}, {""id"": 441, ""name"": ""assassination""}, {""id"": 591, ""name"": ""cia""}, {""id"": 974, ""name"": ""bank""}, {""id"": 977, ""name"": ""cat""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 2350, ""name"": ""seattle""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 3045, ""name"": ""mission of murder""}, {""id"": 3979, ""name"": ""hidden camera""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 11148, ""name"": ""police chase""}, {""id"": 12355, ""name"": ""sniper rifle""}, {""id"": 18107, ""name"": ""silencer""}, {""id"": 33456, ""name"": ""double cross""}, {""id"": 167861, ""name"": ""caribbean""}, {""id"": 178929, ""name"": ""detroit michigan""}]","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",1995-10-06,50000000
25,Leaving Las Vegas,I Love You... The Way You Are.,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","[{""id"": 30, ""name"": ""individual""}, {""id"": 549, ""name"": ""prostitute""}, {""id"": 567, ""name"": ""alcohol""}, {""id"": 585, ""name"": ""casino""}, {""id"": 699, ""name"": ""love at first sight""}, {""id"": 725, ""name"": ""lovesickness""}, {""id"": 887, ""name"": ""film producer""}, {""id"": 888, ""name"": ""screenwriter""}, {""id"": 922, ""name"": ""hotel room""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3927, ""name"": ""rage and hate""}, {""id"": 6059, ""name"": ""unsociability""}, {""id"": 7464, ""name"": ""alcoholism""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 15237, ""name"": ""alcohol abuse""}, {""id"": 155793, ""name"": ""attempted suicide""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1995-10-27,3600000
34,Babe,A little pig goes a long way.,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","[{""id"": 3020, ""name"": ""sheep""}, {""id"": 4931, ""name"": ""pig""}, {""id"": 5608, ""name"": ""affection""}, {""id"": 8082, ""name"": ""piglet""}, {""id"": 11115, ""name"": ""heroism""}, {""id"": 11477, ""name"": ""talking animal""}, {""id"": 18013, ""name"": ""separation""}, {""id"": 33671, ""name"": ""german shepherd""}, {""id"": 158019, ""name"": ""grandson""}, {""id"": 206052, ""name"": ""talking pig""}]","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1995-07-18,30000000
36,Dead Man Walking,,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,"[{""id"": 378, ""name"": ""prison""}, {""id"": 570, ""name"": ""rape""}, {""id"": 1952, ""name"": ""socially deprived family""}, {""id"": 2060, ""name"": ""penalty""}, {""id"": 2122, ""name"": ""death penalty""}, {""id"": 2300, ""name"": ""despair""}, {""id"": 2501, ""name"": ""death row""}, {""id"": 2538, ""name"": ""begnadigung""}, {""id"": 2726, ""name"": ""therapist""}, {""id"": 2796, ""name"": ""self-discovery""}, {""id"": 2885, ""name"": ""prison cell""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 3437, ""name"": ""death sentence""}, {""id"": 3440, ""name"": ""doomed man""}, {""id"": 3441, ""name"": ""sentence""}, {""id"": 3442, ""name"": ""lethal injection""}, {""id"": 3446, ""name"": ""forgiveness""}, {""id"": 3447, ""name"": ""charity""}, {""id"": 3448, ""name"": ""mercy petition""}, {""id"": 3927, ""name"": ""rage and hate""}, {""id"": 6059, ""name"": ""unsociability""}, {""id"": 6145, ""name"": ""right and justice""}, {""id"": 6148, ""name"": ""court""}, {""id"": 11263, ""name"": ""electric chair""}, {""id"": 13001, ""name"": ""cowardliness""}]","[{""id"": 18, ""name"": ""Drama""}]",1995-12-29,11000000
39,Clueless,Sex. Clothes. Popularity. Is there a problem here?,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","[{""id"": 1525, ""name"": ""puberty""}, {""id"": 6270, ""name"": ""high school""}, {""id"": 6664, ""name"": ""make a match""}, {""id"": 7208, ""name"": ""spoiled child""}, {""id"": 10199, ""name"": ""gay interest""}, {""id"": 11933, ""name"": ""conflict""}, {""id"": 187056, ""name"": ""woman director""}]","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1995-07-19,12000000
41,Richard III,"I can smile, and murder while I smile",Shakespeare's Play transplanted into a 1930s setting.,"[{""id"": 392, ""name"": ""england""}, {""id"": 497, ""name"": ""shakespeare""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 13084, ""name"": ""king""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",1995-12-29,0
43,Restoration,,"During home renovations, a young couple release a fiery spirit seeking retribution. To save themselves and set the spirit free, they must uncover the dire truth. But nothing is as simple as it seems...",[],"[{""id"": 27, ""name"": ""Horror""}]",2016-05-03,0
44,Mortal Kombat,Nothing In This World Has Prepared You For This.,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","[{""id"": 779, ""name"": ""martial arts""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 2041, ""name"": ""island""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 10821, ""name"": ""sorcerer""}, {""id"": 12380, ""name"": ""tournament""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 188955, ""name"": ""hand to hand combat""}]","[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1995-08-18,18000000
45,To Die For,All she wanted was a little attention.,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","[{""id"": 596, ""name"": ""adultery""}, {""id"": 1442, ""name"": ""winter""}, {""id"": 1523, ""name"": ""obsession""}, {""id"": 2136, ""name"": ""television""}, {""id"": 6018, ""name"": ""new hampshire""}, {""id"": 208477, ""name"": ""narcissistic personality disorder""}]","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",1995-05-20,20000000
48,Pocahontas,An American legend comes to life.,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","[{""id"": 1463, ""name"": ""culture clash""}, {""id"": 3591, ""name"": ""settler""}, {""id"": 3691, ""name"": ""forbidden love""}, {""id"": 4090, ""name"": ""colony""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 4542, ""name"": ""gold rush""}, {""id"": 7376, ""name"": ""princess""}, {""id"": 9840, ""name"": ""romance""}, {""id"": 10322, ""name"": ""native american""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 160977, ""name"": ""virginia""}, {""id"": 165086, ""name"": ""star crossed lovers""}, {""id"": 173808, ""name"": ""reference to pizarro""}, {""id"": 173811, ""name"": ""jamestown virginia""}, {""id"": 173815, ""name"": ""pug dog""}, {""id"": 173823, ""name"": ""cross cultural relationship""}, {""id"": 173824, ""name"": ""musket""}, {""id"": 173825, ""name"": ""animate tree""}, {""id"": 180217, ""name"": ""indian chief""}, {""id"": 185343, ""name"": ""based on folk tale""}, {""id"": 207941, ""name"": ""17th century""}, {""id"": 208426, ""name"": ""shamanism""}, {""id"": 225547, ""name"": ""songs""}, {""id"": 230456, ""name"": ""indians vs. settlers""}, {""id"": 234183, ""name"": ""animal sidekick""}, {""id"": 234184, ""name"": ""powhatan""}, {""id"": 234185, ""name"": ""land claim""}]","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",1995-06-14,55000000
57,Home for the Holidays,We'll do it every year..until we get it right,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.","[{""id"": 2672, ""name"": ""baltimore""}, {""id"": 4543, ""name"": ""thanksgiving""}, {""id"": 7629, ""name"": ""family clan""}, {""id"": 155294, ""name"": ""family conflict""}, {""id"": 171760, ""name"": ""generations conflict""}, {""id"": 187056, ""name"": ""woman director""}]","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1995-11-02,0
61,Eye for an Eye,What do you do when justice fails?,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.","[{""id"": 570, ""name"": ""rape""}, {""id"": 1419, ""name"": ""gun""}, {""id"": 2801, ""name"": ""self-defense""}, {""id"": 204959, ""name"": ""grieving parents""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1996-01-12,20000000
62,Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own.","In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","[{""id"": 1233, ""name"": ""composer""}, {""id"": 1310, ""name"": ""mentor""}, {""id"": 1635, ""name"": ""deaf-mute""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 4488, ""name"": ""apprentice""}, {""id"": 5289, ""name"": ""private life""}, {""id"": 6027, ""name"": ""music""}, {""id"": 158558, ""name"": ""disabled""}]","[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",1995-12-29,0
69,Friday,A lot can go down between thursday and saturday...,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","[{""id"": 897, ""name"": ""rap music""}, {""id"": 970, ""name"": ""parents kids relationship""}, {""id"": 4562, ""name"": ""rapper""}, {""id"": 8438, ""name"": ""job""}]","[{""id"": 35, ""name"": ""Comedy""}]",1995-04-26,3500000
70,From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","[{""id"": 246, ""name"": ""dancing""}, {""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 459, ""name"": ""sexual obsession""}, {""id"": 797, ""name"": ""showdown""}, {""id"": 798, ""name"": ""sheriff""}, {""id"": 1664, ""name"": ""eroticism""}, {""id"": 2483, ""name"": ""nudity""}, {""id"": 2492, ""name"": ""bank robber""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 3649, ""name"": ""holy water""}, {""id"": 4063, ""name"": ""siege""}, {""id"": 6593, ""name"": ""stripper""}, {""id"": 10093, ""name"": ""priest""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14687, ""name"": ""extreme violence""}, {""id"": 15363, ""name"": ""bank robbery""}, {""id"": 18072, ""name"": ""preacher""}, {""id"": 18233, ""name"": ""hostage situation""}, {""id"": 41380, ""name"": ""crucifix""}, {""id"": 163795, ""name"": ""recreational vehicle""}, {""id"": 167664, ""name"": ""blood spurting""}, {""id"": 168152, ""name"": ""convenience store""}, {""id"": 174878, ""name"": ""female vampire""}, {""id"": 188711, ""name"": ""mexican american border""}, {""id"": 191441, ""name"": ""nightclub entertainer""}, {""id"": 227811, ""name"": ""boa constrictor""}]","[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1996-01-19,19000000
71,Fair Game,Wife. Mother. Spy.,"Wife and mother Valerie Plame (Naomi Watts) has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson (Sean Penn), writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.","[{""id"": 591, ""name"": ""cia""}, {""id"": 3617, ""name"": ""nuclear scientist""}, {""id"": 5939, ""name"": ""iraq""}, {""id"": 6083, ""name"": ""politician""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2010-05-20,22000000
81,Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,"[{""id"": 494, ""name"": ""father son relationship""}, {""id"": 801, ""name"": ""bounty hunter""}, {""id"": 1422, ""name"": ""boat""}, {""id"": 1587, ""name"": ""way of life""}, {""id"": 1909, ""name"": ""coffin""}, {""id"": 1977, ""name"": ""denver""}, {""id"": 2022, ""name"": ""godmother""}, {""id"": 2340, ""name"": ""paranoia""}, {""id"": 2708, ""name"": ""hitman""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6259, ""name"": ""psychopath""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10183, ""name"": ""independent film""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 10738, ""name"": ""diner""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 13142, ""name"": ""gangster""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 33625, ""name"": ""illegal prostitution""}, {""id"": 34094, ""name"": ""extramarital affair""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",1995-12-01,8000000
86,White Squall,,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,"[{""id"": 2082, ""name"": ""sailing trip""}, {""id"": 2913, ""name"": ""diary""}, {""id"": 3180, ""name"": ""sailing""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10683, ""name"": ""coming of age""}, {""id"": 18068, ""name"": ""teenage boy""}, {""id"": 46962, ""name"": ""discipline""}, {""id"": 167836, ""name"": ""squall""}, {""id"": 167837, ""name"": ""sail""}, {""id"": 167843, ""name"": ""ship captain""}, {""id"": 167861, ""name"": ""caribbean""}, {""id"": 167863, ""name"": ""male bonding""}, {""id"": 167868, ""name"": ""seasickness""}, {""id"": 168683, ""name"": ""storm at sea""}, {""id"": 208992, ""name"": ""1960s""}]","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",1996-02-02,38000000
92,Mary Reilly,The untold story of Jekyll and Hyde,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.","[{""id"": 964, ""name"": ""servant""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 10124, ""name"": ""laboratory""}, {""id"": 156033, ""name"": ""jekyll and hyde""}, {""id"": 191009, ""name"": ""housemaid""}, {""id"": 207928, ""name"": ""19th century""}]","[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10749, ""name"": ""Romance""}]",1996-02-23,47000000
93,Vampire in Brooklyn,A comic tale of horror and seduction.,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.","[{""id"": 3133, ""name"": ""vampire""}, {""id"": 3630, ""name"": ""half vampire""}]","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 10749, ""name"": ""Romance""}]",1995-10-27,14000000
95,Broken Arrow,Prepare to Go Ballistic.,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.","[{""id"": 720, ""name"": ""helicopter""}, {""id"": 1261, ""name"": ""river""}, {""id"": 1316, ""name"": ""captain""}, {""id"": 1353, ""name"": ""underground""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 1825, ""name"": ""countdown""}, {""id"": 3203, ""name"": ""pilot""}, {""id"": 5572, ""name"": ""fistfight""}, {""id"": 8122, ""name"": ""canyon""}, {""id"": 9052, ""name"": ""major""}, {""id"": 10085, ""name"": ""betrayal""}, {""id"": 12371, ""name"": ""gunfight""}, {""id"": 13008, ""name"": ""train""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 15263, ""name"": ""park ranger""}, {""id"": 18034, ""name"": ""desert""}, {""id"": 162365, ""name"": ""military""}, {""id"": 208547, ""name"": ""nuclear device""}, {""id"": 209476, ""name"": ""boxing""}, {""id"": 214472, ""name"": ""stealth aircraft""}, {""id"": 215861, ""name"": ""abandoned mine""}, {""id"": 219869, ""name"": ""humvee""}]","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1996-02-09,50000000
